Age,Male,Female
Below_17,1.37,1.4
Below_29,7.44,6.98
Below_39,5.76,4.69
Below_49,3.36,2.97
Below_59,1.72,1.84
Below_69,0.85,1.06
Over_70,0.64,0.67
