Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total,Overall total
#date+year,#country+residence,#loc+name,#affected+f+children+age0_4,#affected+f+children+age5_11,#affected+f+children+age5_17,#affected+f+adolescents+age12_17,#affected+f+adults+age18_59,#affected+f+elderly+age60plus,#affected+f+other,#affected+f+total,#affected+m+children+age0_4,#affected+m+children+age5_11,#affected+m+children+age5_17,#affected+m+adolescents+age12_17,#affected+m+adults+age18_59,#affected+m+elderly+age60plus,#affected+m+other,#affected+m+total,#affected+all+total
2010,Colombia,Palmira,0,0,,0,0,0,0,0,0,0,,0,1,0,0,1,1
2010,Colombia,Neiva,0,0,,0,0,0,0,0,0,0,,0,1,0,0,1,1
2010,Colombia,Medellín,0,0,,0,1,1,0,2,0,0,,0,10,0,0,10,12
2010,Colombia,Maicao,0,0,,0,1,0,0,1,1,0,,0,0,0,0,1,2
2010,Colombia,Ibagué,0,0,,0,1,0,0,1,0,0,,0,1,0,0,1,2
2010,Colombia,Duitama,0,0,,0,1,0,0,1,0,0,,0,0,0,0,0,1
2010,Colombia,Cucuta,1,0,,0,6,0,0,7,1,0,,1,6,1,0,9,16
2010,Colombia,Charalá : Point,0,0,,0,0,0,0,0,0,0,,0,0,1,0,1,1
2010,Colombia,Cartagena : Point,0,0,,0,2,0,0,2,0,0,,0,10,1,0,11,13
2010,Colombia,Cali : Point,0,0,,0,1,0,0,1,0,0,,0,4,2,0,6,7
2010,Colombia,Buenaventura : Point,0,1,,2,2,0,0,5,0,3,,0,1,0,0,4,9
2010,Colombia,Bogota : Point,8,5,,6,52,6,0,77,5,13,,6,196,6,0,226,303
2010,Colombia,Barcelona : Point,0,0,,2,1,0,0,3,0,0,,0,1,0,0,1,4
2010,Colombia,Apartadó,0,0,,0,0,0,0,0,0,0,,0,1,0,0,1,1
2011,Colombia,Colombia : Dispersed in the country / territory,0,1,,0,3,0,1983260,1983264,1,0,,0,11,0,1905049,1905061,3888325
2011,Colombia,Tuluá,0,0,,0,0,0,0,0,0,0,,0,1,0,0,1,1
2011,Colombia,Tame,0,0,,0,0,0,0,0,0,0,,0,1,0,0,1,1
2011,Colombia,San Andres Islas,0,0,,0,2,0,0,2,0,0,,1,2,0,0,3,5
2011,Colombia,Medellín : Point,0,0,,0,0,1,0,1,0,0,,0,3,0,0,3,4
2011,Colombia,Maicao,0,0,,0,1,0,0,1,1,0,,0,0,0,0,1,2
2011,Colombia,Ibagué : Point,0,0,,0,1,0,0,1,0,0,,0,1,0,0,1,2
2011,Colombia,Duitama,0,0,,0,1,0,0,1,0,0,,0,0,0,0,0,1
2011,Colombia,Cúcuta,1,0,,0,3,0,0,4,1,0,,1,3,1,0,6,10
2011,Colombia,Charalá : Point,0,0,,0,0,0,0,0,0,0,,0,0,1,0,1,1
2011,Colombia,Cartagena : Point,0,0,,0,1,0,0,1,0,0,,0,9,1,0,10,11
2011,Colombia,Cali,0,0,,0,1,0,0,1,0,0,,0,1,2,0,3,4
2011,Colombia,Cajicá,0,0,,0,0,0,0,0,0,0,,0,1,0,0,1,1
2011,Colombia,Buenaventura : Point,0,1,,2,2,0,0,5,0,3,,0,1,0,0,4,9
2011,Colombia,Bogota : Point,8,6,,4,46,7,0,71,6,10,,12,173,6,0,207,278
2011,Colombia,Barranquilla,0,0,,0,1,0,0,1,1,0,,0,1,0,0,2,3
2011,Colombia,Barcelona : Point,0,0,,2,1,0,0,3,0,0,,0,2,0,0,2,5
2011,Colombia,Apartadó : Point,0,0,,0,1,0,0,1,0,0,,0,1,0,0,1,2
2012,Colombia,Villavicencio,,1,,,1,,,2,,1,,,,,,1,3
2012,Colombia,Tumaco,,,,,,,,0,,,,,2,,,2,2
2012,Colombia,Tuluá : Point,,,,,,,,0,,,,,1,,,1,1
2012,Colombia,San Andres Islas : Department,,,,,1,1,,2,,,,,1,1,,2,4
2012,Colombia,Pereira,,,,,,,,0,,0,,,1,,,1,1
2012,Colombia,Pasto,,,,,,,,0,,,,,2,,,2,2
2012,Colombia,Medellín : Point,,,,1,8,3,,12,,1,,2,14,6,,23,35
2012,Colombia,Maicao : Point,,,,,1,,,1,1,,,,,,,1,2
2012,Colombia,Leticia,,,,,2,,,2,,,,,2,,,2,4
2012,Colombia,Ibagué : Point,,,,,1,,,1,,,,,2,,,2,3
2012,Colombia,Duitama : Point,,,,,1,,,1,,,,1,1,,,2,3
2012,Colombia,Cúcuta : Point,1,,,,3,,,4,1,,,2,5,1,,9,13
2012,Colombia,Colombia : Dispersed in the country / territory,,,,,,,2012514,2012514,,,,,,,1930995,1930995,3943509
2012,Colombia,Cartagena : Point,,,,,1,1,,2,,,,,9,,,9,11
2012,Colombia,Cali : Point,,,,,1,,,1,,,,,5,1,,6,7
2012,Colombia,Buenaventura : Point,,1,,1,3,,,5,,,,2,1,,,3,8
2012,Colombia,Bucaramanga,,1,,,1,,,2,,,,1,1,,,2,4
2012,Colombia,Bogota : Capital District,5,7,,5,32,8,,57,4,2,,7,120,8,,141,198
2012,Colombia,Barcelona : Point,,,,2,1,,,3,,0,,0,1,,,1,4
2013,Colombia,Turbo,,,,,2,,,2,,,,,2,,,2,4
2013,Colombia,Tumaco : Municipality,,1,,,1,,,2,,1,,,,,,1,3
2013,Colombia,Tuluá : Point,,,,,,,,0,,,,,1,,,1,1
2013,Colombia,San Andres Islas : Department,,,,,1,,,1,,,,,2,,,2,3
2013,Colombia,Popayán,,1,,,3,,,4,1,,,,1,,,2,6
2013,Colombia,Pereira : Municipality,,,,,1,,,1,,,,,2,,,2,3
2013,Colombia,Neiva,,,,,,,,0,,,,,,1,,1,1
2013,Colombia,Medellín : Point,,,,,,1,,1,,1,,,5,,,6,7
2013,Colombia,Maicao : Point,,,,,1,,,1,1,,,,,,,1,2
2013,Colombia,Leticia : Municipality,,,,,,,,0,,,,,1,,,1,1
2013,Colombia,Ibagué : Point,,,,,1,,,1,,,,,1,,,1,2
2013,Colombia,Duitama : Point,,,,,1,,,1,,,,1,1,,,2,3
2013,Colombia,Cúcuta : Point,1,,,,5,,,6,1,0,,2,8,1,,12,18
