Origin / Returned from,Country / territory of residence,Population type,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Colombia,Trinidad and Tobago,Refugees,*,8,5,5,5,5,5,,,,,,,
Colombia,Trinidad and Tobago,Asylum seekers,,,4,1,1,,,,,,,,,
Colombia,Turks and Caicos Islands,Refugees,*,,,,,,,,,,,,,
Colombia,Turks and Caicos Islands,Asylum seekers,,1,,,,,,,,,,,,
Colombia,United Kingdom,Refugees,162,341,564,650,947,1164,1368,1399,1397,1356,1317,1140,915,870
Colombia,United Kingdom,Asylum seekers,16,19,,,,,,,,,,,,
Colombia,United States,Refugees,13913,17766,22004,25607,27003,26447,25261,24770,19967,14920,11590,11135,6663,2614
Colombia,United States,Asylum seekers,384,178,177,165,2128,2365,3715,6096,8813,11979,14759,14504,8038,2489
Colombia,Uruguay,Refugees,115,94,86,82,68,49,49,41,40,24,21,23,18,17
Colombia,Uruguay,Asylum seekers,16,20,27,17,26,17,19,17,2,2,4,,1,
Colombia,Uruguay,Returned refugees,,,,,,,,,,,,,,1
